Nome_Treinamento,Data,Inicio,Termino,Modalidade,Local_Link,Unidade
CONHECIMENTO NA FUNÇÃO ,04/12/2025,07:30:00,12:00:00,Presencial,AGRICOLA,Narandiba
CONHECIMENTO NA FUNÇÃO ,04/12/2025,07:30:00,12:00:00,Presencial,GENTE E GESTAO ,Paraguaçu Paulista
